[Run 003] Epoch 083, Avg Reward: -1.62
[Run 003] Epoch 084, Avg Reward: -1.62
[Run 003] Epoch 085, Avg Reward: -1.58
[Run 003] Epoch 086, Avg Reward: -0.98
[Run 003] Epoch 087, Avg Reward: -1.21
[Run 003] Epoch 088, Avg Reward: -1.34
[Run 003] Epoch 089, Avg Reward: -1.26
[Run 003] Epoch 090, Avg Reward: -1.87
[Run 003] Epoch 091, Avg Reward: -1.05
[Run 003] Epoch 092, Avg Reward: -1.69
[Run 003] Epoch 093, Avg Reward: -1.75
[Run 003] Epoch 094, Avg Reward: -1.26
[Run 003] Epoch 095, Avg Reward: -1.72
[Run 003] Epoch 096, Avg Reward: -1.56
[Run 003] Epoch 097, Avg Reward: -1.76
[Run 003] Epoch 098, Avg Reward: -1.29
[Run 003] Epoch 099, Avg Reward: -1.70
[Run 003] Epoch 100, Avg Reward: -1.63
[Run 004] Epoch 001, Avg Reward: -6.21
[Run 004] Epoch 002, Avg Reward: -6.32
[Run 004] Epoch 003, Avg Reward: -6.07
[Run 004] Epoch 004, Avg Reward: -6.37
[Run 004] Epoch 005, Avg Reward: -6.08
[Run 004] Epoch 006, Avg Reward: -5.78
[Run 004] Epoch 007, Avg Reward: -5.63
[Run 004] Epoch 008, Avg Reward: -5.70
[Run 004] Epoch 009, Avg Reward: -5.43
[Run 004] Epoch 010, Avg Reward: -4.98
[Run 004] Epoch 011, Avg Reward: -5.15
[Run 004] Epoch 012, Avg Reward: -4.93
[Run 004] Epoch 013, Avg Reward: -4.82
[Run 004] Epoch 014, Avg Reward: -4.55
[Run 004] Epoch 015, Avg Reward: -4.00
[Run 004] Epoch 016, Avg Reward: -4.41
[Run 004] Epoch 017, Avg Reward: -4.43
[Run 004] Epoch 018, Avg Reward: -4.38
[Run 004] Epoch 019, Avg Reward: -4.11
[Run 004] Epoch 020, Avg Reward: -4.41
[Run 004] Epoch 021, Avg Reward: -4.07
[Run 004] Epoch 022, Avg Reward: -4.04
[Run 004] Epoch 023, Avg Reward: -3.79
[Run 004] Epoch 024, Avg Reward: -4.01
[Run 004] Epoch 025, Avg Reward: -4.15
[Run 004] Epoch 026, Avg Reward: -3.88
[Run 004] Epoch 027, Avg Reward: -3.73
[Run 004] Epoch 028, Avg Reward: -3.83
[Run 004] Epoch 029, Avg Reward: -3.57
[Run 004] Epoch 030, Avg Reward: -3.68
[Run 004] Epoch 031, Avg Reward: -3.47
[Run 004] Epoch 032, Avg Reward: -3.59
[Run 004] Epoch 033, Avg Reward: -3.63
[Run 004] Epoch 034, Avg Reward: -3.59
[Run 004] Epoch 035, Avg Reward: -3.32
[Run 004] Epoch 036, Avg Reward: -3.43
[Run 004] Epoch 037, Avg Reward: -2.91
[Run 004] Epoch 038, Avg Reward: -3.15
[Run 004] Epoch 039, Avg Reward: -2.98
[Run 004] Epoch 040, Avg Reward: -3.09
[Run 004] Epoch 041, Avg Reward: -2.61
[Run 004] Epoch 042, Avg Reward: -2.85
[Run 004] Epoch 043, Avg Reward: -2.51
[Run 004] Epoch 044, Avg Reward: -2.83
[Run 004] Epoch 045, Avg Reward: -2.80
[Run 004] Epoch 046, Avg Reward: -2.64
[Run 004] Epoch 047, Avg Reward: -2.18
[Run 004] Epoch 048, Avg Reward: -2.32
[Run 004] Epoch 049, Avg Reward: -2.01
[Run 004] Epoch 050, Avg Reward: -2.30
[Run 004] Epoch 051, Avg Reward: -1.76
[Run 004] Epoch 052, Avg Reward: -1.94
[Run 004] Epoch 053, Avg Reward: -1.69
[Run 004] Epoch 054, Avg Reward: -1.52
[Run 004] Epoch 055, Avg Reward: -1.68
[Run 004] Epoch 056, Avg Reward: -1.50
[Run 004] Epoch 057, Avg Reward: -1.72
[Run 004] Epoch 058, Avg Reward: -1.69
[Run 004] Epoch 059, Avg Reward: -1.58
[Run 004] Epoch 060, Avg Reward: -1.27
[Run 004] Epoch 061, Avg Reward: -1.61
[Run 004] Epoch 062, Avg Reward: -1.17
[Run 004] Epoch 063, Avg Reward: -1.48
[Run 004] Epoch 064, Avg Reward: -1.17
[Run 004] Epoch 065, Avg Reward: -1.12
[Run 004] Epoch 066, Avg Reward: -0.94
[Run 004] Epoch 067, Avg Reward: -1.41
[Run 004] Epoch 068, Avg Reward: -1.33
[Run 004] Epoch 069, Avg Reward: -1.33
[Run 004] Epoch 070, Avg Reward: -1.13
[Run 004] Epoch 071, Avg Reward: -1.34
[Run 004] Epoch 072, Avg Reward: -1.15
[Run 004] Epoch 073, Avg Reward: -1.05
[Run 004] Epoch 074, Avg Reward: -1.23
[Run 004] Epoch 075, Avg Reward: -0.99
[Run 004] Epoch 076, Avg Reward: -1.36
[Run 004] Epoch 077, Avg Reward: -1.53
[Run 004] Epoch 078, Avg Reward: -2.04
[Run 004] Epoch 079, Avg Reward: -1.89
[Run 004] Epoch 080, Avg Reward: -1.40
[Run 004] Epoch 081, Avg Reward: -1.52
[Run 004] Epoch 082, Avg Reward: -1.18
[Run 004] Epoch 083, Avg Reward: -1.43
[Run 004] Epoch 084, Avg Reward: -1.45
[Run 004] Epoch 085, Avg Reward: -0.96
[Run 004] Epoch 086, Avg Reward: -1.27
[Run 004] Epoch 087, Avg Reward: -1.05
[Run 004] Epoch 088, Avg Reward: -0.98
[Run 004] Epoch 089, Avg Reward: -1.20
[Run 004] Epoch 090, Avg Reward: -1.14
[Run 004] Epoch 091, Avg Reward: -1.21
[Run 004] Epoch 092, Avg Reward: -1.10
[Run 004] Epoch 093, Avg Reward: -1.36
[Run 004] Epoch 094, Avg Reward: -1.33
[Run 004] Epoch 095, Avg Reward: -1.46
[Run 004] Epoch 096, Avg Reward: -1.18
[Run 004] Epoch 097, Avg Reward: -1.43
[Run 004] Epoch 098, Avg Reward: -0.88
[Run 004] Epoch 099, Avg Reward: -1.98
[Run 004] Epoch 100, Avg Reward: -1.51
[Run 005] Epoch 001, Avg Reward: -5.61
[Run 005] Epoch 002, Avg Reward: -5.66
[Run 005] Epoch 003, Avg Reward: -5.39
[Run 005] Epoch 004, Avg Reward: -5.25
[Run 005] Epoch 005, Avg Reward: -5.08
[Run 005] Epoch 006, Avg Reward: -5.44
[Run 005] Epoch 007, Avg Reward: -5.32
[Run 005] Epoch 008, Avg Reward: -5.10
[Run 005] Epoch 009, Avg Reward: -4.94
[Run 005] Epoch 010, Avg Reward: -5.16
[Run 005] Epoch 011, Avg Reward: -4.80
[Run 005] Epoch 012, Avg Reward: -4.35
[Run 005] Epoch 013, Avg Reward: -4.69
[Run 005] Epoch 014, Avg Reward: -4.13
[Run 005] Epoch 015, Avg Reward: -4.54
[Run 005] Epoch 016, Avg Reward: -4.58
[Run 005] Epoch 017, Avg Reward: -4.64
[Run 005] Epoch 018, Avg Reward: -4.25
[Run 005] Epoch 019, Avg Reward: -4.27
[Run 005] Epoch 020, Avg Reward: -4.56
[Run 005] Epoch 021, Avg Reward: -4.19
[Run 005] Epoch 022, Avg Reward: -4.15
[Run 005] Epoch 023, Avg Reward: -4.14
[Run 005] Epoch 024, Avg Reward: -3.89
[Run 005] Epoch 025, Avg Reward: -3.92
[Run 005] Epoch 026, Avg Reward: -3.41
[Run 005] Epoch 027, Avg Reward: -3.66
[Run 005] Epoch 028, Avg Reward: -3.69
[Run 005] Epoch 029, Avg Reward: -3.40
[Run 005] Epoch 030, Avg Reward: -3.50
[Run 005] Epoch 031, Avg Reward: -3.73
[Run 005] Epoch 032, Avg Reward: -3.27
[Run 005] Epoch 033, Avg Reward: -3.36
[Run 005] Epoch 034, Avg Reward: -2.91
[Run 005] Epoch 035, Avg Reward: -3.33
[Run 005] Epoch 036, Avg Reward: -3.34
[Run 005] Epoch 037, Avg Reward: -2.99
[Run 005] Epoch 038, Avg Reward: -3.01
[Run 005] Epoch 039, Avg Reward: -2.86
[Run 005] Epoch 040, Avg Reward: -2.54
[Run 005] Epoch 041, Avg Reward: -2.75
[Run 005] Epoch 042, Avg Reward: -2.62
[Run 005] Epoch 043, Avg Reward: -2.71
[Run 005] Epoch 044, Avg Reward: -2.63
[Run 005] Epoch 045, Avg Reward: -2.32
[Run 005] Epoch 046, Avg Reward: -2.40
[Run 005] Epoch 047, Avg Reward: -2.10
[Run 005] Epoch 048, Avg Reward: -2.26
[Run 005] Epoch 049, Avg Reward: -1.76
[Run 005] Epoch 050, Avg Reward: -1.81
[Run 005] Epoch 051, Avg Reward: -1.44
[Run 005] Epoch 052, Avg Reward: -1.78
[Run 005] Epoch 053, Avg Reward: -1.49
[Run 005] Epoch 054, Avg Reward: -1.85
[Run 005] Epoch 055, Avg Reward: -1.42
[Run 005] Epoch 056, Avg Reward: -1.59
[Run 005] Epoch 057, Avg Reward: -1.59
[Run 005] Epoch 058, Avg Reward: -2.04
[Run 005] Epoch 059, Avg Reward: -1.86
[Run 005] Epoch 060, Avg Reward: -1.58
[Run 005] Epoch 061, Avg Reward: -1.61
[Run 005] Epoch 062, Avg Reward: -1.54
[Run 005] Epoch 063, Avg Reward: -1.61
[Run 005] Epoch 064, Avg Reward: -1.59
[Run 005] Epoch 065, Avg Reward: -1.54
[Run 005] Epoch 066, Avg Reward: -1.10
[Run 005] Epoch 067, Avg Reward: -2.04
[Run 005] Epoch 068, Avg Reward: -2.06
[Run 005] Epoch 069, Avg Reward: -1.69
[Run 005] Epoch 070, Avg Reward: -1.45
[Run 005] Epoch 071, Avg Reward: -1.93
[Run 005] Epoch 072, Avg Reward: -1.39
[Run 005] Epoch 073, Avg Reward: -2.23
[Run 005] Epoch 074, Avg Reward: -1.34
[Run 005] Epoch 075, Avg Reward: -1.85
[Run 005] Epoch 076, Avg Reward: -2.61
[Run 005] Epoch 077, Avg Reward: -1.82
[Run 005] Epoch 078, Avg Reward: -1.57
[Run 005] Epoch 079, Avg Reward: -2.43
[Run 005] Epoch 080, Avg Reward: -1.46
[Run 005] Epoch 081, Avg Reward: -1.24
[Run 005] Epoch 082, Avg Reward: -1.13
[Run 005] Epoch 083, Avg Reward: -1.47
[Run 005] Epoch 084, Avg Reward: -0.99
[Run 005] Epoch 085, Avg Reward: -1.76
[Run 005] Epoch 086, Avg Reward: -1.01
[Run 005] Epoch 087, Avg Reward: -1.45
[Run 005] Epoch 088, Avg Reward: -1.04
[Run 005] Epoch 089, Avg Reward: -1.40
[Run 005] Epoch 090, Avg Reward: -1.16
[Run 005] Epoch 091, Avg Reward: -1.39
[Run 005] Epoch 092, Avg Reward: -1.80
[Run 005] Epoch 093, Avg Reward: -1.38
[Run 005] Epoch 094, Avg Reward: -1.47
[Run 005] Epoch 095, Avg Reward: -1.18
[Run 005] Epoch 096, Avg Reward: -1.65
[Run 005] Epoch 097, Avg Reward: -1.44
[Run 005] Epoch 098, Avg Reward: -1.78
[Run 005] Epoch 099, Avg Reward: -1.23
[Run 005] Epoch 100, Avg Reward: -2.06
[Run 006] Epoch 001, Avg Reward: -5.45
[Run 006] Epoch 002, Avg Reward: -5.59
[Run 006] Epoch 003, Avg Reward: -5.68
[Run 006] Epoch 004, Avg Reward: -5.04
[Run 006] Epoch 005, Avg Reward: -5.33
[Run 006] Epoch 006, Avg Reward: -4.79
[Run 006] Epoch 007, Avg Reward: -4.96
[Run 006] Epoch 008, Avg Reward: -4.69
[Run 006] Epoch 009, Avg Reward: -5.08
[Run 006] Epoch 010, Avg Reward: -4.81
[Run 006] Epoch 011, Avg Reward: -4.55
[Run 006] Epoch 012, Avg Reward: -4.76
[Run 006] Epoch 013, Avg Reward: -5.05
[Run 006] Epoch 014, Avg Reward: -4.80
[Run 006] Epoch 015, Avg Reward: -4.67
[Run 006] Epoch 016, Avg Reward: -4.48
[Run 006] Epoch 017, Avg Reward: -4.85
